,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
age,1.0,-0.13019611477578286,-0.1385207613609816,0.04921570730506794,-0.00787009843419963,0.28236356623588593,0.007161921307378248,0.0026451474325018894,0.11851012358041015,0.13345298969305164,0.0982914059326973,-0.02912926540692284,0.15319564731325133,-0.1241212493428526,-0.11947474383942817,-0.12528243256717936
Medu,-0.13019611477578286,1.0,0.6420631457185746,-0.238180727538213,0.09061637748308246,-0.1877694044352409,0.015003617940617124,0.0010542190548594333,0.02561427813361198,0.001515096682401827,-0.029330540966529768,-0.013254089982053394,0.05970767618778878,0.22610060216874345,0.22466174780418835,0.20147169024090728
Fedu,-0.1385207613609816,0.6420631457185746,1.0,-0.19632816050131208,0.03345787446825521,-0.19139042104151482,0.013065914966308089,0.002141729823089441,0.03007487636033936,-0.0001648392770051504,0.019523934159990448,0.03428823772981229,0.04082888554356583,0.19589802089664707,0.18263396193855555,0.1597960494449447
traveltime,0.04921570730506794,-0.238180727538213,-0.19632816050131208,1.0,-0.08132801567096856,0.08717749467240599,-0.012577521832956799,-0.007402577550516431,0.04973978261225079,0.10942301622612065,0.08429240374227522,-0.02900197781602763,-0.022668699216970876,-0.12105330105413863,-0.14016297283935203,-0.10262711753091318
studytime,-0.00787009843419963,0.09061637748308246,0.03345787446825521,-0.08132801567096856,1.0,-0.15202352345544806,0.012324092551609813,-0.09442934462423613,-0.07294073912226771,-0.15966464126505223,-0.22907314839875212,-0.0630444586218577,-0.07559366925629898,0.21131391453042972,0.18316670187165582,0.16162893520293836
failures,0.28236356623588593,-0.1877694044352409,-0.19139042104151482,0.08717749467240599,-0.15202352345544806,1.0,-0.05367645731816549,0.10267875723186057,0.07468330849999578,0.11633579007829083,0.10743159319648528,0.04831102325776835,0.09999785373029674,-0.37417487229127977,-0.37717217641689516,-0.3831452797182743
famrel,0.007161921307378248,0.015003617940617124,0.013065914966308089,-0.012577521832956799,0.012324092551609813,-0.05367645731816549,1.0,0.1369006497308208,0.08061921166823319,-0.07648265722018172,-0.10066337519496296,0.10410077551352133,-0.062170661872973036,0.03694727393438921,0.042053621382162586,0.05446105940363324
freetime,0.0026451474325018894,0.0010542190548594333,0.002141729823089441,-0.007402577550516431,-0.09442934462423613,0.10267875723186057,0.1369006497308208,1.0,0.32355575258606173,0.14497912789070147,0.13037702829254552,0.08151722469205319,-0.03207873624611219,-0.05198471239311455,-0.06895188579173893,-0.06488967904803558
goout,0.11851012358041015,0.02561427813361198,0.03007487636033936,0.04973978261225079,-0.07294073912226771,0.07468330849999578,0.08061921166823319,0.32355575258606173,1.0,0.2531348290875025,0.3997937258939364,-0.01373623481625274,0.05614214423926892,-0.10116346812856612,-0.1084108949623638,-0.0978772596884402
Dalc,0.13345298969305164,0.001515096682401827,-0.0001648392770051504,0.10942301622612065,-0.15966464126505223,0.11633579007829083,-0.07648265722018172,0.14497912789070147,0.2531348290875025,1.0,0.6278138379900983,0.06551534222161011,0.1328671344668963,-0.1509425374320043,-0.1315764840088688,-0.12964212480071244
Walc,0.0982914059326973,-0.029330540966529768,0.019523934159990448,0.08429240374227522,-0.22907314839875212,0.10743159319648528,-0.10066337519496296,0.13037702829254552,0.3997937258939364,0.6278138379900983,1.0,0.106669444231498,0.13970313453795177,-0.14240139672370924,-0.12811434653927384,-0.11574000357145985
health,-0.02912926540692284,-0.013254089982053394,0.03428823772981229,-0.02900197781602763,-0.0630444586218577,0.04831102325776835,0.10410077551352133,0.08151722469205319,-0.01373623481625274,0.06551534222161011,0.106669444231498,1.0,-0.027478597794646634,-0.060477939856565625,-0.08800109398831356,-0.0800786395825788
absences,0.15319564731325133,0.05970767618778878,0.04082888554356583,-0.022668699216970876,-0.07559366925629898,0.09999785373029674,-0.062170661872973036,-0.03207873624611219,0.05614214423926892,0.1328671344668963,0.13970313453795177,-0.027478597794646634,1.0,-0.09242463182603128,-0.08933169411291361,-0.04567057698837352
G1,-0.1241212493428526,0.22610060216874345,0.19589802089664707,-0.12105330105413863,0.21131391453042972,-0.37417487229127977,0.03694727393438921,-0.05198471239311455,-0.10116346812856612,-0.1509425374320043,-0.14240139672370924,-0.060477939856565625,-0.09242463182603128,1.0,0.8587387525170549,0.8091417205401173
G2,-0.11947474383942817,0.22466174780418835,0.18263396193855555,-0.14016297283935203,0.18316670187165582,-0.37717217641689516,0.042053621382162586,-0.06895188579173893,-0.1084108949623638,-0.1315764840088688,-0.12811434653927384,-0.08800109398831356,-0.08933169411291361,0.8587387525170549,1.0,0.9107431630583613
G3,-0.12528243256717936,0.20147169024090728,0.1597960494449447,-0.10262711753091318,0.16162893520293836,-0.3831452797182743,0.05446105940363324,-0.06488967904803558,-0.0978772596884402,-0.12964212480071244,-0.11574000357145985,-0.0800786395825788,-0.04567057698837352,0.8091417205401173,0.9107431630583613,1.0
